team,opponent,home,goals,conceded,xG,xGA,date,GD,xGD,diff,label
Bologna,Napoli,1,1,7,2,1.79,2017-02-04,-6,0.20999999999999996,-6.21,Bologna - Napoli 1:7
Schalke 04,1. FC Union Berlin,1,1,6,1.89,0.95,2022-08-27,-5,0.94,-5.9399999999999995,Schalke 04 - 1. FC Union Berlin 1:6
Crystal Palace,Sunderland,1,0,4,2.07,0.82,2017-02-04,-4,1.25,-5.25,Crystal Palace - Sunderland 0:4
Angers,Lyon,0,0,6,0.33,1.16,2019-08-16,-6,-0.8299999999999998,-5.17,Lyon - Angers 6:0
Spezia,Verona,0,0,4,1.62,0.59,2021-10-03,-4,1.0300000000000002,-5.03,Verona - Spezia 4:0
Mainz,RB Leipzig,0,0,8,0.87,3.86,2019-11-02,-8,-2.9899999999999998,-5.01,RB Leipzig - Mainz 8:0
Manchester City,Tottenham Hotspur,0,0,2,3.46,0.54,2020-02-02,-2,2.92,-4.92,Tottenham Hotspur - Manchester City 2:0
SC Freiburg,Mainz,0,0,5,1.54,1.77,2019-04-05,-5,-0.22999999999999998,-4.77,Mainz - SC Freiburg 5:0
Southampton,Manchester United,0,0,9,0.52,4.85,2021-02-02,-9,-4.33,-4.67,Manchester United - Southampton 9:0
Hertha Berlin,RB Leipzig,1,2,6,1.5,0.95,2018-05-12,-4,0.55,-4.55,Hertha Berlin - RB Leipzig 2:6
